epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,190.595,0.66313,1.05746,0.97194,0.84543,0.92441,0.96963,0.85212,0.85482,1.05519,1.17078,0.000742625,0.000742625,0.000742625
43,195.09,0.65664,0.98215,0.9622,0.6847,0.90251,0.84903,0.71479,0.89077,1.10283,1.18098,0.00073025,0.00073025,0.00073025
44,199.719,0.66456,0.97182,0.98569,0.72894,0.79311,0.81232,0.68652,0.91416,1.16208,1.1872,0.000717875,0.000717875,0.000717875
45,204.2,0.64344,1.01386,0.95755,0.60295,0.87364,0.79056,0.67941,0.87366,1.09593,1.1919,0.0007055,0.0007055,0.0007055
46,208.664,0.67953,0.99503,0.98468,0.61282,0.945,0.80541,0.68516,0.90484,1.08812,1.21175,0.000693125,0.000693125,0.000693125
47,213.246,0.67218,0.99327,0.98011,0.60534,0.92971,0.79208,0.6724,0.89818,1.18857,1.19958,0.00068075,0.00068075,0.00068075
48,217.739,0.67556,1.01922,0.97152,0.68637,0.84559,0.79351,0.6847,0.88801,1.24322,1.1994,0.000668375,0.000668375,0.000668375
49,222.33,0.72056,1.06145,0.99136,0.72694,0.89953,0.80895,0.7073,0.89305,1.25645,1.1804,0.000656,0.000656,0.000656
50,226.851,0.66538,1.00805,0.96053,0.7556,0.97598,0.96382,0.83965,0.85043,1.01027,1.15792,0.000643625,0.000643625,0.000643625
51,231.33,0.7032,1.07212,1.00774,0.8592,0.94048,0.95959,0.81828,0.83644,0.96321,1.15831,0.00063125,0.00063125,0.00063125
52,236.003,0.68372,1.02076,0.983,0.83987,0.91961,0.95666,0.81591,0.81082,0.96992,1.13609,0.000618875,0.000618875,0.000618875
53,240.692,0.72114,1.01731,1.00469,0.76627,0.91127,0.89818,0.74356,0.83184,1.00032,1.14301,0.0006065,0.0006065,0.0006065
54,245.293,0.67221,0.93785,0.95529,0.7858,0.92409,0.91789,0.78434,0.8539,1.02002,1.1447,0.000594125,0.000594125,0.000594125
55,249.912,0.63591,0.99406,0.96568,0.83332,0.91503,0.92254,0.79387,0.86323,1.00826,1.14122,0.00058175,0.00058175,0.00058175
56,254.486,0.6232,0.96122,0.94592,0.61595,0.86127,0.78132,0.68365,0.94381,1.11389,1.20576,0.000569375,0.000569375,0.000569375
57,259.094,0.66991,1.04316,0.98677,0.94676,0.71324,0.78435,0.69486,0.91112,1.08884,1.18609,0.000557,0.000557,0.000557
58,263.712,0.6573,0.94186,0.97132,0.61539,0.85402,0.81749,0.71314,0.86002,1.03078,1.15051,0.000544625,0.000544625,0.000544625
59,268.591,0.5982,0.90144,0.93496,0.67148,0.84031,0.84535,0.73865,0.82291,1.00185,1.12755,0.00053225,0.00053225,0.00053225
60,273.336,0.60996,0.8771,0.93173,0.84912,0.84527,0.92679,0.77632,0.7755,0.93536,1.11753,0.000519875,0.000519875,0.000519875
61,278.135,0.60309,1.00486,0.93581,0.92508,0.89842,0.95647,0.82449,0.80246,0.92098,1.15491,0.0005075,0.0005075,0.0005075
62,282.885,0.61064,0.95153,0.97648,0.89907,0.9182,0.95197,0.79995,0.86826,1.00242,1.17972,0.000495125,0.000495125,0.000495125
63,287.839,0.6009,0.94855,0.92548,0.93272,0.92892,0.96176,0.78415,0.88327,0.99502,1.19038,0.00048275,0.00048275,0.00048275
64,292.681,0.63985,0.89567,0.95527,0.91191,0.91979,0.96173,0.79277,0.86661,0.9696,1.1891,0.000470375,0.000470375,0.000470375
65,297.53,0.57607,0.85696,0.92676,0.92316,0.94461,0.96989,0.79517,0.82394,0.93452,1.16848,0.000458,0.000458,0.000458
66,302.472,0.59642,0.84088,0.94856,0.90647,0.94461,0.96278,0.79741,0.80932,0.94064,1.14394,0.000445625,0.000445625,0.000445625
67,307.345,0.61572,0.95759,0.9512,0.90003,0.92059,0.95128,0.78339,0.84696,0.94339,1.16085,0.00043325,0.00043325,0.00043325
68,312.118,0.59362,0.81642,0.93319,0.85827,0.90894,0.93939,0.77338,0.85468,0.99954,1.15956,0.000420875,0.000420875,0.000420875
69,316.671,0.60392,0.83657,0.96629,0.76836,0.91835,0.8872,0.74496,0.85462,1.08388,1.16908,0.0004085,0.0004085,0.0004085
70,321.488,0.64237,0.91628,0.96919,0.74706,0.8828,0.82596,0.68455,0.88553,1.14082,1.18753,0.000396125,0.000396125,0.000396125
71,326.272,0.69229,0.96364,1.01909,0.75718,0.80609,0.79886,0.66495,0.87936,1.19396,1.19376,0.00038375,0.00038375,0.00038375
72,330.982,0.57568,0.7712,0.92914,0.7079,0.91961,0.80403,0.64323,0.84974,1.17342,1.20751,0.000371375,0.000371375,0.000371375
73,335.595,0.58956,0.84048,0.93316,0.73074,0.91127,0.8319,0.66465,0.88481,1.08026,1.24286,0.000359,0.000359,0.000359
74,340.196,0.57804,0.79465,0.92249,0.83008,0.86961,0.91476,0.70754,0.86722,0.96686,1.23051,0.000346625,0.000346625,0.000346625
75,344.794,0.55013,0.84344,0.92517,0.91248,0.8852,0.94775,0.71392,0.90668,0.95304,1.26338,0.00033425,0.00033425,0.00033425
76,349.354,0.61614,0.88619,0.93627,0.89489,0.89559,0.95357,0.71549,0.93225,0.99957,1.28149,0.000321875,0.000321875,0.000321875
77,353.884,0.57749,1.14138,0.94673,0.87951,0.89177,0.94541,0.7345,0.96096,1.10575,1.29247,0.0003095,0.0003095,0.0003095
78,358.624,0.54899,0.79491,0.93995,0.83902,0.89819,0.92161,0.71326,0.98226,1.24371,1.31659,0.000297125,0.000297125,0.000297125
79,363.175,0.57392,0.84448,0.93174,0.83308,0.89755,0.90775,0.70571,0.9925,1.30024,1.32183,0.00028475,0.00028475,0.00028475
80,367.795,0.55063,0.79612,0.907,0.87805,0.88824,0.9374,0.72927,0.96352,1.15303,1.29751,0.000272375,0.000272375,0.000272375
81,372.453,0.56611,0.81325,0.91749,0.91204,0.91225,0.95707,0.74989,0.88212,1.05331,1.21711,0.00026,0.00026,0.00026
82,377.087,0.58436,0.9156,0.94453,0.89668,0.94461,0.97063,0.81678,0.79161,0.83166,1.11433,0.000247625,0.000247625,0.000247625
