epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,406.051,0.77329,0.9949,1.00472,0.75708,0.70812,0.66258,0.54985,0.67908,1.26949,1.04924,0.000742625,0.000742625,0.000742625
43,415.805,0.69162,0.87446,0.97867,0.82387,0.6943,0.75745,0.61531,0.64995,1.13802,1.03055,0.00073025,0.00073025,0.00073025
44,425.63,0.64681,0.84896,0.98204,0.73682,0.81756,0.79825,0.6393,0.69487,0.96365,1.04544,0.000717875,0.000717875,0.000717875
45,435.113,0.67863,0.8714,0.9819,0.73552,0.83679,0.79062,0.63589,0.67943,1.00364,1.02538,0.0007055,0.0007055,0.0007055
46,444.777,0.66925,0.81729,0.98308,0.88263,0.75015,0.79846,0.66053,0.63856,1.09187,1.01065,0.000693125,0.000693125,0.000693125
47,454.445,0.72066,0.9899,1.01045,0.89634,0.73339,0.81948,0.68671,0.64652,1.02144,1.01378,0.00068075,0.00068075,0.00068075
48,464.141,0.69,0.86996,0.96608,0.87008,0.75244,0.81186,0.67064,0.6341,0.98549,1.00542,0.000668375,0.000668375,0.000668375
49,473.715,0.63522,0.8447,0.95921,0.88196,0.7542,0.82423,0.68121,0.6289,0.98034,1.00161,0.000656,0.000656,0.000656
50,483.29,0.63867,0.80216,0.9418,0.8935,0.78453,0.83456,0.69243,0.63033,0.93963,1.02454,0.000643625,0.000643625,0.000643625
51,492.732,0.65087,0.78276,0.95635,0.88048,0.76834,0.82673,0.65527,0.66623,0.93036,1.05222,0.00063125,0.00063125,0.00063125
52,502.291,0.65523,0.79177,0.94605,0.86012,0.77032,0.82839,0.68417,0.66189,0.95729,1.04874,0.000618875,0.000618875,0.000618875
53,511.753,0.68604,0.83967,0.97077,0.89923,0.74429,0.8294,0.6893,0.64416,0.96362,1.02565,0.0006065,0.0006065,0.0006065
54,521.244,0.62441,0.73354,0.9559,0.8277,0.71314,0.79854,0.65699,0.63965,0.97121,1.01265,0.000594125,0.000594125,0.000594125
55,530.919,0.65938,0.80301,0.96936,0.72846,0.79512,0.69934,0.5766,0.60016,1.01378,0.9942,0.00058175,0.00058175,0.00058175
56,540.463,0.59382,0.73776,0.9382,0.77957,0.77515,0.76964,0.64498,0.57632,0.96355,0.996,0.000569375,0.000569375,0.000569375
57,550.005,0.60922,0.74337,0.94784,0.85385,0.75961,0.83252,0.70338,0.57503,0.90072,0.97413,0.000557,0.000557,0.000557
58,559.519,0.64249,0.82868,0.97194,0.82567,0.78283,0.81386,0.68201,0.60284,0.98738,0.98575,0.000544625,0.000544625,0.000544625
59,568.944,0.58397,0.69159,0.92728,0.79743,0.75619,0.81457,0.66548,0.61264,1.07424,0.98832,0.00053225,0.00053225,0.00053225
60,578.606,0.70907,0.88738,0.99708,0.82795,0.75876,0.79926,0.66222,0.62671,0.9662,1.00432,0.000519875,0.000519875,0.000519875
61,588.272,0.56544,0.68663,0.90848,0.8017,0.74575,0.80743,0.67505,0.61158,0.95465,1.00987,0.0005075,0.0005075,0.0005075
62,597.858,0.5836,0.73482,0.92502,0.92342,0.74107,0.83068,0.6963,0.61615,0.93501,1.0046,0.000495125,0.000495125,0.000495125
63,607.34,0.62158,0.69757,0.94174,0.92438,0.74025,0.83172,0.70438,0.60021,0.9423,0.99155,0.00048275,0.00048275,0.00048275
64,616.862,0.61019,0.70035,0.93751,0.68996,0.75421,0.67816,0.57177,0.61747,0.96333,0.99651,0.000470375,0.000470375,0.000470375
65,626.33,0.60855,0.70888,0.9294,0.71549,0.7414,0.70792,0.58277,0.63056,0.8853,1.00241,0.000458,0.000458,0.000458
66,635.956,0.6156,0.72917,0.93805,0.87451,0.73465,0.80153,0.67588,0.62016,0.88129,1.00236,0.000445625,0.000445625,0.000445625
67,645.47,0.66155,0.72944,0.94285,0.94422,0.72128,0.8302,0.70168,0.62469,0.90544,1.0002,0.00043325,0.00043325,0.00043325
68,655.38,0.66382,0.69641,1.0033,0.91661,0.76104,0.84024,0.72957,0.59063,0.91748,0.99137,0.000420875,0.000420875,0.000420875
69,665.557,0.60866,0.74161,0.93417,0.91208,0.77169,0.84764,0.73914,0.57442,0.85454,0.98555,0.0004085,0.0004085,0.0004085
70,675.298,0.57383,0.70306,0.9366,0.89345,0.74328,0.82777,0.70845,0.58978,0.89219,0.99162,0.000396125,0.000396125,0.000396125
71,684.83,0.55059,0.62944,0.92219,0.69544,0.83842,0.6842,0.58594,0.59749,1.02203,1.01188,0.00038375,0.00038375,0.00038375
72,694.368,0.59386,0.67095,0.93214,0.77221,0.74521,0.73406,0.62991,0.58379,0.89609,0.99901,0.000371375,0.000371375,0.000371375
73,703.921,0.55809,0.6238,0.91966,0.85937,0.78992,0.84184,0.70135,0.592,0.80321,0.99203,0.000359,0.000359,0.000359
74,713.463,0.57253,0.65011,0.92179,0.84503,0.79619,0.83446,0.69687,0.59802,0.85327,0.99057,0.000346625,0.000346625,0.000346625
75,722.988,0.57008,0.62631,0.92443,0.85777,0.79042,0.84074,0.71644,0.59119,0.91638,0.99011,0.00033425,0.00033425,0.00033425
76,732.555,0.56893,0.68587,0.92736,0.82094,0.73913,0.79593,0.66567,0.60285,1.05148,1.01551,0.000321875,0.000321875,0.000321875
77,742.007,0.58376,0.66206,0.93729,0.75072,0.73946,0.70987,0.59653,0.62486,0.94908,1.04155,0.0003095,0.0003095,0.0003095
78,751.543,0.57801,0.66077,0.92126,0.70378,0.75495,0.68863,0.57944,0.62479,0.90499,1.05784,0.000297125,0.000297125,0.000297125
79,761.053,0.53389,0.62005,0.93004,0.67169,0.76968,0.68258,0.57073,0.64689,0.91845,1.08768,0.00028475,0.00028475,0.00028475
80,770.778,0.55897,0.64174,0.91967,0.86312,0.78844,0.82927,0.69485,0.59028,0.84203,1.01951,0.000272375,0.000272375,0.000272375
81,780.367,0.55096,0.67026,0.92116,0.69805,0.81036,0.69156,0.59781,0.57686,0.96335,1.02049,0.00026,0.00026,0.00026
82,789.897,0.55848,0.63223,0.91051,0.62763,0.74404,0.66529,0.57125,0.58966,1.12263,1.04121,0.000247625,0.000247625,0.000247625
83,799.614,0.53731,0.60987,0.90972,0.6096,0.78965,0.67065,0.57237,0.59532,1.06712,1.04095,0.00023525,0.00023525,0.00023525
84,809.149,0.54943,0.58999,0.9176,0.67551,0.8141,0.69223,0.59961,0.56958,0.90437,1.00868,0.000222875,0.000222875,0.000222875
85,818.727,0.52688,0.60103,0.90336,0.73697,0.79599,0.77111,0.66893,0.56689,0.83478,1.00128,0.0002105,0.0002105,0.0002105
86,828.238,0.56377,0.67543,0.92631,0.70238,0.83293,0.69013,0.59229,0.58197,0.90001,1.01981,0.000198125,0.000198125,0.000198125
87,838.079,0.5298,0.57222,0.90296,0.66164,0.82997,0.67966,0.57594,0.59163,0.98463,1.02736,0.00018575,0.00018575,0.00018575
88,847.743,0.52197,0.54336,0.90608,0.67421,0.80581,0.68441,0.57413,0.61064,1.01687,1.04076,0.000173375,0.000173375,0.000173375
89,857.341,0.53942,0.57131,0.9195,0.71737,0.826,0.69232,0.57974,0.59591,1.01227,1.0319,0.000161,0.000161,0.000161
